time (seconds),encoderLeft (meters),encoderRight (meters)
181.101,-0.0021000413689762354,-0.0023378627374768257
181.201,-0.002101213438436389,-0.0023391698487102985
181.301,-0.002102395286783576,-0.002340480452403426
181.401,-0.0021035573445260525,-0.0023417763877660036
181.501,-0.002104738960042596,-0.0023430902510881424
181.601,-0.0021059054415673018,-0.0023443887475878
181.7,-0.002107019769027829,-0.002345633925870061
181.799,-0.0021082181483507156,-0.002346963156014681
181.901,-0.0021093380637466908,-0.0023482157848775387
181.998,-0.0021105255000293255,-0.002349532674998045
182.101,-0.0021116952411830425,-0.00235083163715899
182.203,-0.0021128447260707617,-0.002352116396650672
182.3,-0.002114039845764637,-0.0023534386418759823
182.401,-0.0021151979453861713,-0.002354729687795043
182.5,-0.002116355812177062,-0.002356019802391529
182.6,-0.0021175083238631487,-0.002357303164899349
182.698,-0.0021186689846217632,-0.0023585937451571226
182.8,-0.0021198668982833624,-0.00235992600210011
182.899,-0.0021210031118243933,-0.0023611928336322308
183,-0.0021219055633991957,-0.0023621998261660337
183.101,-0.0021219055633991957,-0.0023621998261660337
183.199,-0.0021219055633991957,-0.0023621998261660337
183.302,-0.0021219055633991957,-0.0023621998261660337
183.401,-0.0021219055633991957,-0.0023621998261660337
183.498,-0.0021213507279753685,-0.0023619807325303555
183.601,-0.0021225903183221817,-0.002363357925787568
183.701,-0.0021238215267658234,-0.0023647123016417027
183.801,-0.0021250564604997635,-0.002366070169955492
183.901,-0.0021262913942337036,-0.0023674299009144306
184.001,-0.002127527492120862,-0.002368789864704013
184.102,-0.0021287675481289625,-0.0023701523896306753
184.201,-0.0021300017833709717,-0.002371507929638028
184.301,-0.0021312423050403595,-0.002372871385887265
184.401,-0.00213247979991138,-0.002374231582507491
184.501,-0.0021337203215807676,-0.0023755920119583607
184.601,-0.0021349582821130753,-0.0023769503459334373
184.7,-0.002136199502274394,-0.002378313336521387
184.801,-0.0021373943891376257,-0.0023796309251338243
184.901,-0.0021385999862104654,-0.0023809662088751793
185,-0.002139713615179062,-0.0023822106886655092
185.091,-0.002140876604244113,-0.0023835045285522938
185.199,-0.00214205589145422,-0.002384816762059927
185.301,-0.002143228193745017,-0.002386117121204734
185.401,-0.002144363708794117,-0.002387385116890073
185.501,-0.00214553065598011,-0.0023886815179139376
185.588,-0.0021467015612870455,-0.002389984205365181
185.701,-0.002147881081327796,-0.0023912955075502396
185.801,-0.002149060368537903,-0.002392607042565942
185.9,-0.0021502326708287,-0.002393910428509116
186,-0.0021513893734663725,-0.0023951998446136713
186.102,-0.0021525530610233545,-0.0023964957799762487
186.2,-0.0021537402644753456,-0.002397814067080617
186.301,-0.002154849236831069,-0.002399055752903223
186.401,-0.002156047150492668,-0.0024003838188946247
186.501,-0.002157181967049837,-0.00240164902061224
186.601,-0.0021583319175988436,-0.0024029298219829798
186.7,-0.0021595158614218235,-0.002404246013611555
186.801,0.00018664391245692968,-0.004753742832690477
186.901,0.0025346640031784773,-0.007105270866304636
187.001,0.004882677923887968,-0.009456771425902843
187.102,0.007230671122670174,-0.011808270588517189
187.201,0.009578720666468143,-0.014159735292196274
187.301,0.011926712468266487,-0.01651124097406864
187.401,0.014274743385612965,-0.018862726166844368
187.498,0.016622761264443398,-0.021214209496974945
187.603,0.01897076703608036,-0.023565711453557014
